,,Aast,64460,43.288777,-0.090416,1
,,Abainville,55130,48.530570,5.493887,1
,,Abancourt,59268,50.233719,3.212787,1
,,Abancourt,60220,49.696772,1.764323,1
,,Abaucourt,54610,48.896499,6.256624,1
,,Abaucourt-Hautecourt,55400,49.196334,5.539698,1
,,Abbans-Dessous,25320,47.133293,5.874023,1
,,Abbans-Dessus,25440,47.119600,5.881212,1
,,Abbaretz,44170,47.551745,-1.532452,1
,,Abbecourt,60430,49.355005,2.157841,1
,,Abbenans,25340,47.499624,6.449389,1
,,Abbeville,80100,50.104441,1.834007,1
,,Abbeville-Saint-Lucien,60480,49.515977,2.169008,1
,,Abbécourt,02300,49.595081,3.178341,1
,,Abbéville-la-Rivière,91150,48.345975,2.165894,1
,,Abbéville-lès-Conflans,54800,49.197617,5.844492,1
,,Abbévillers,25310,47.430728,6.917735,1
,,Abeilhan,34290,43.449504,3.293897,1
,,Abelcourt,70300,47.785306,6.290140,1
,,Abergement-la-Ronce,39500,47.069992,5.368317,1
,,Abergement-le-Grand,39600,46.912718,5.680872,1
,,Abergement-le-Petit,39800,46.902483,5.694823,1
,,Abergement-lès-Thésy,39110,46.917237,5.938805,1
,,Abidos,64150,43.398240,-0.624823,1
,,Abilly,37160,46.940399,0.726789,1
,,Abitain,64390,43.419639,-0.989454,1
,,Abjat-sur-Bandiat,24300,45.584375,0.758026,1
,,Ablain-Saint-Nazaire,62153,50.391586,2.712120,1
,,Ablaincourt-Pressoir,80320,49.839477,2.820806,1
,,Ablainzevelle,62116,50.151890,2.730252,1
,,Ablancourt,51240,48.813286,4.521173,1
,,Ableiges,95450,49.090205,1.980049,1
,,Ablis,78660,48.515924,1.834135,1
,,Ablon,14600,49.393314,0.294898,1
,,Ablon-sur-Seine,94480,48.725323,2.420865,1
,,Aboncourt,54115,48.357661,5.966563,1
,,Aboncourt,57920,49.260323,6.345546,1
,,Aboncourt-Gesincourt,70500,47.771279,5.972608,1
,,Aboncourt-sur-Seille,57590,48.815924,6.338821,1
,,Abondance,74360,46.278045,6.720765,1
,,Abondant,28410,48.783985,1.438844,1
,,Abos,64360,43.357967,-0.563047,1
,,Aboën,42380,45.412814,4.131481,1
,,Abreschviller,57560,48.636535,7.096371,1
,,Abrest,03200,46.098421,3.443989,1
,,Abriès,05460,44.794381,6.926330,1
,,Abscon,59215,50.334096,3.301579,1
,,Abzac,16500,46.102169,0.703214,1
,,Abzac,33230,45.016197,-0.128651,1
,,Abère,64160,43.388930,-0.176038,1
,,Accolans,25250,47.494460,6.531483,1
,,Accolay,89460,47.660137,3.708796,1
,,Accons,07160,44.885829,4.386850,1
,,Accous,64490,42.973148,-0.600686,1
,,Achain,57340,48.913043,6.590878,1
,,Achen,57412,49.043332,7.181914,1
,,Achenheim,67204,48.581095,7.625643,1
,,Achery,02800,49.691638,3.389213,1
,,Acheux-en-Amiénois,80560,50.073163,2.532509,1
,,Acheux-en-Vimeu,80210,50.065126,1.677224,1
,,Acheville,62320,50.382888,2.882060,1
,,Achey,70180,47.573747,5.607572,1
,,Achicourt,62217,50.273175,2.759027,1
,,Achiet-le-Grand,62121,50.130440,2.782058,1
,,Achiet-le-Petit,62121,50.123194,2.749961,1
,,Achun,58110,47.123773,3.679317,1
,,Achy,60690,49.555871,1.979094,1
,,Achères,18250,47.278403,2.448371,1
,,Achères,78260,48.961423,2.067251,1
,,Achères-la-Forêt,77760,48.345410,2.564062,1
,,Acigné,35690,48.133938,-1.536640,1
,,Aclou,27800,49.169754,0.704410,1
,,Acon,27570,48.772631,1.090762,1
,,Acoua,97630,64.072628,-0.766412,1
,,Acq,62144,50.347453,2.656249,1
,,Acqueville,14220,48.970826,-0.367915,1
,,Acqueville,50440,49.609327,-1.750259,1
,,Acquigny,27400,49.172448,1.177515,1
,,Acquin-Westbécourt,62380,50.726945,2.088154,1
,,Acy,02200,49.344650,3.412734,1
,,Acy-Romance,08300,49.500619,4.341373,1
,,Acy-en-Multien,60620,49.104413,2.953440,1
,,Adaincourt,57580,49.004902,6.435792,1
,,Adainville,78113,48.722722,1.652776,1
,,Adam-lès-Passavant,25360,47.296781,6.360857,1
,,Adam-lès-Vercel,25530,47.167945,6.391130,1
,,Adamswiller,67320,48.903949,7.202124,1
,,Adast,65260,42.973173,-0.078491,1
,,Adelange,57380,49.005158,6.610931,1
,,Adelans-et-le-Val-de-Bithaine,70200,47.709267,6.397560,1
,,Adervielle-Pouchergues,65240,42.818552,0.403933,1
,,Adilly,79200,46.689114,-0.308840,1
,,Adinfer,62116,50.194045,2.707647,1
,,Adissan,34230,43.534530,3.427895,1
,,Adon,45230,47.762913,2.794429,1
,,Adriers,86430,46.256265,0.796749,1
,,Adé,65100,43.133914,-0.028058,1
,,Afa,20167,41.983034,8.794723,1
,,Affieux,19260,45.517105,1.766474,1
,,Affléville,54800,49.269674,5.763232,1
,,Affoux,69170,45.844742,4.403220,1
,,Affracourt,54740,48.461335,6.170054,1
,,Affringues,62380,50.689135,2.071889,1
,,Agassac,31230,43.370808,0.887326,1
,,Agde,34300,43.309421,3.474268,1
,,Agel,34210,43.337347,2.852105,1
,,Agen,47000,44.202482,0.618546,1
,,Agen-d'Aveyron,12630,44.356564,2.678813,1
,,Agencourt,21700,47.127728,4.980240,1
,,Agenville,80370,50.165074,2.102454,1
,,Agenvillers,80150,50.177967,1.919024,1
,,Ageville,52340,48.109463,5.354379,1
,,Agey,21410,47.283437,4.762336,1
,,Aghione,20270,42.106611,9.416916,1
,,Agincourt,54770,48.732315,6.236855,1
